Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,14.20,14.44,13.62,13.89,134604000,13.89
2014-12-30,14.01,14.40,13.68,13.99,136681800,13.99
2014-12-29,13.41,14.88,13.22,14.27,252739200,14.27
2014-12-26,13.97,14.78,13.15,13.86,328198400,13.86
2014-12-25,12.78,13.82,12.50,13.82,253234400,13.82
2014-12-24,12.97,13.18,12.22,12.56,215054300,12.56
2014-12-23,12.87,13.95,12.01,13.33,250633100,13.33
2014-12-22,15.05,15.72,12.89,13.14,365057700,13.14
2014-12-19,13.00,14.31,12.66,14.31,271591000,14.31
2014-12-18,12.31,13.33,11.80,13.01,257894700,13.01
2014-12-17,11.80,12.49,11.47,12.16,235073900,12.16
2014-12-16,11.28,12.28,11.20,11.78,285244100,11.78
2014-12-15,10.04,11.26,9.81,11.26,241071500,11.26
2014-12-12,9.80,10.70,9.18,10.24,313814900,10.24
2014-12-11,9.54,9.91,9.08,9.91,353738500,9.91
2014-12-10,8.56,9.01,8.55,9.01,299798900,9.01
2014-12-09,8.15,8.59,7.85,8.19,386547000,8.19
2014-12-08,7.15,7.81,7.15,7.81,239367600,7.81
2014-12-05,7.43,7.43,6.96,7.10,162113000,7.10
2014-12-04,7.28,7.45,7.17,7.37,155207700,7.37
2014-12-03,7.31,7.55,7.13,7.26,173499200,7.26
2014-12-02,7.21,7.49,7.19,7.31,132502900,7.31
2014-12-01,7.43,7.47,7.18,7.21,130453000,7.21
2014-11-28,7.18,7.85,7.10,7.58,217393300,7.58
2014-11-27,7.49,7.50,7.15,7.31,173441800,7.31
2014-11-26,7.50,7.71,7.28,7.48,221882500,7.48
2014-11-25,7.41,7.68,7.24,7.50,298810500,7.50
2014-11-24,6.70,7.28,6.59,7.28,226807300,7.28
2014-11-21,6.38,6.68,6.30,6.62,129099300,6.62
2014-11-20,6.30,6.49,6.27,6.39,79432900,6.39
2014-11-19,6.52,6.62,6.39,6.41,110591100,6.41
2014-11-18,6.31,6.82,6.25,6.59,197159800,6.59
2014-11-17,6.28,6.53,6.12,6.32,115920200,6.32
2014-11-14,6.38,6.38,6.18,6.31,122942400,6.31
2014-11-13,6.49,6.81,6.42,6.52,165877900,6.52
2014-11-12,6.45,6.56,6.31,6.54,143995200,6.54
2014-11-11,6.80,6.83,6.37,6.47,222669700,6.47
2014-11-10,6.75,7.03,6.56,6.98,304018500,6.98
2014-11-07,6.86,7.04,6.56,6.66,384734500,6.66
2014-11-06,6.16,6.80,5.96,6.80,380987400,6.80
2014-11-05,6.49,6.55,6.15,6.18,360124300,6.18
2014-11-04,5.82,6.13,5.62,6.13,281460000,6.13
2014-11-03,5.11,5.59,5.11,5.57,281009600,5.57
